GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,br.com.tcf5_health_record_transformer,Tcf5HealthRecordTransformerApplication,64,0,2,0,22,0,5,0,4,0
,br.com.tcf5_health_record_transformer.domain.model,HealthRecord,54,248,33,21,0,10,28,18,1,18
,br.com.tcf5_health_record_transformer.domain.model,JsonbConverter,7,26,0,4,2,10,0,5,0,3
,br.com.tcf5_health_record_transformer.domain.model,MappingRule,27,98,13,9,0,5,12,9,1,9
,br.com.tcf5_health_record_transformer.domain.model,HealthRecord.HealthRecordBuilder,21,44,0,0,0,1,2,7,2,7
,br.com.tcf5_health_record_transformer.domain.service,RuleService,0,24,0,0,0,6,0,3,0,3
,br.com.tcf5_health_record_transformer.domain.service,JoltTransformer,0,19,0,0,0,6,0,2,0,2
,br.com.tcf5_health_record_transformer.web,MappingRuleController,37,220,6,16,7,56,6,13,0,8
,br.com.tcf5_health_record_transformer.web.dto,MappingRuleRequest,0,17,0,0,0,7,0,5,0,5
,br.com.tcf5_health_record_transformer.web.dto,JoltSpecDeserializer,0,29,0,2,0,9,0,3,0,2
,br.com.tcf5_health_record_transformer.validation,FhirValidationException,4,0,0,0,2,0,1,0,1,0
,br.com.tcf5_health_record_transformer.validation,HapiFhirValidationService,76,0,2,0,21,0,5,0,4,0
,br.com.tcf5_health_record_transformer.messaging,HealthRecordConsumer,327,283,18,20,63,66,17,16,4,10
